id,district,code,party,first_name,last_name,first_elected,birth_year,gender,race_ethnicity,religion,lgbtq,votepercent_president2016_democrat,votepercent_president2016_republican,votepercent_president2012_democrat,votepercent_president2012_republican,votepercent_president2008_democrat,votepercent_president2008_republican,rvotepercent_house_democrat,rvotepercent_house_republican,votepercent_president2004_democrat,votepercent_president2004_republican,votepercent_president2000_democrat,votepercent_president2000_republican,votepercent2014_house_democrat,votepercent2014_house_republican,two_party2012_dem,two_party2012_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,tvotetotal_president,qvote_president_democrat,qvote_president_republican,votetotal_president2012,vote_president2012_democrat,vote_president2012_republican,votetotal_president2008,vote_president2008_democrat,vote_president2008_republican,votetotal2016_house,vote_house2016_democrat,vote_house2016_republican,vote_house2016_other,vote_total2014_house,vote_house2014_democrat,vote_house2014_republican,vote_house2014_other,house2_party2012_dem,house2_party2012_rep,acs_population_total,acs_votingagepopulation_total,,,
101,Florida 14th,FL-14,Democratic,Kathy,Castor,2006,1966,Woman,White - Non-Hispanic,Christian - Presbyterian,No,57.2,39,57.6,41.2,58.1,40.9,61.8,38.2,43,57,46,54,,,,,55.1,17,22.8,3.3,0.2,1.5,35.3,129,46.5,83,51410,281,29.4,330433,188870,128797,100,57.6,41.2,100,58.1,40.9,316877,195789,121088,0,,,,,,,668930,512900,,,"(101,'Florida 14th','FL-14','Democratic','Kathy','Castor',2006,1966,'Woman','White - Non-Hispanic','Christian - Presbyterian','No',57.2,39,57.6,41.2,58.1,40.9,61.8,38.2,43,57,46,54,,,,,55.1,17,22.8,3.3,0.2,1.5,35.3,129,46.5,83,51410,281,29.4,330433,188870,128797,100,57.6,41.2,100,58.1,40.9,316877,195789,121088,0,,,,,,,668930,512900),"
102,Florida 15th,FL-15,Republican,Dennis,Ross,2010,1959,Man,White - Non-Hispanic,Christian - Presbyterian,No,43.1,53.1,46.6,52.2,46.7,52.1,42.5,57.5,46,54,47,53,,,,,67.3,13.2,15.4,2.5,0.2,1.4,25.8,279,27.3,308,53784,244,48.8,334518,144225,177635,100,46.6,52.2,100,46.7,52.1,318474,135475,182999,0,,,,,,,703740,532485,,,"(102,'Florida 15th','FL-15','Republican','Dennis','Ross',2010,1959,'Man','White - Non-Hispanic','Christian - Presbyterian','No',43.1,53.1,46.6,52.2,46.7,52.1,42.5,57.5,46,54,47,53,,,,,67.3,13.2,15.4,2.5,0.2,1.4,25.8,279,27.3,308,53784,244,48.8,334518,144225,177635,100,46.6,52.2,100,46.7,52.1,318474,135475,182999,0,,,,,,,703740,532485),"
103,Florida 16th,FL-16,Republican,Vern,Buchanan,2006,1951,Man,White - Non-Hispanic,Christian - Southern Baptist,No,43,53.7,45.1,53.7,47.7,51.2,40.2,59.8,83,17,85,15,,,,,80.3,7.6,9.4,1.6,0.2,0.9,30.7,184,33.2,220,55447,225,53.5,396807,170442,213271,100,45.1,53.7,100,47.7,51.2,385916,155262,230654,0,,,,,,,707850,560555,,,"(103,'Florida 16th','FL-16','Republican','Vern','Buchanan',2006,1951,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',43,53.7,45.1,53.7,47.7,51.2,40.2,59.8,83,17,85,15,,,,,80.3,7.6,9.4,1.6,0.2,0.9,30.7,184,33.2,220,55447,225,53.5,396807,170442,213271,100,45.1,53.7,100,47.7,51.2,385916,155262,230654,0,,,,,,,707850,560555),"
104,Florida 17th,FL-17,Republican,Tom,Rooney,2008,1970,Man,White - Non-Hispanic,Christian - Roman Catholic,No,35,62.2,41.3,57.6,43.9,54.7,34.2,61.8,46,54,43,57,,,,,82.4,6.8,8.8,1.1,0.2,0.8,21.3,363,23.2,388,45508,365,63.2,353861,123919,220156,100,41.3,57.6,100,43.9,54.7,338675,115974,209348,13353,,,,,,,687455,564130,,,"(104,'Florida 17th','FL-17','Republican','Tom','Rooney',2008,1970,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',35,62.2,41.3,57.6,43.9,54.7,34.2,61.8,46,54,43,57,,,,,82.4,6.8,8.8,1.1,0.2,0.8,21.3,363,23.2,388,45508,365,63.2,353861,123919,220156,100,41.3,57.6,100,43.9,54.7,338675,115974,209348,13353,,,,,,,687455,564130),"
105,Florida 18th,FL-18,Republican,Brian,Mast,2016,1980,Man,Hispanic - Mexican,Christian - Protestant,No,44.1,53.3,47.7,51.4,51.2,47.9,43.1,53.6,66,34,73,27,,,,,76.8,10.7,10,1.6,0.2,0.8,30.5,188,33.6,212,54913,231,50.9,382474,168558,203771,100,47.7,51.4,100,51.2,47.9,375918,161918,201488,12512,,,,,,,682745,547435,,,"(105,'Florida 18th','FL-18','Republican','Brian','Mast',2016,1980,'Man','Hispanic - Mexican','Christian - Protestant','No',44.1,53.3,47.7,51.4,51.2,47.9,43.1,53.6,66,34,73,27,,,,,76.8,10.7,10,1.6,0.2,0.8,30.5,188,33.6,212,54913,231,50.9,382474,168558,203771,100,47.7,51.4,100,51.2,47.9,375918,161918,201488,12512,,,,,,,682745,547435),"
106,Florida 19th,FL-19,Republican,Francis,Rooney,2016,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,37.5,59.6,38.7,60.5,42.3,56.8,34.1,65.9,64,36,69,31,32.7,64.6,36.6,63.4,81.6,5.7,10.7,1.2,0.2,0.7,32.3,166,37.1,170,54812,233,51.3,381158,143001,227097,100,38.7,60.5,100,42.3,56.8,363166,123812,239225,129,246861,80824,159354,6683,109746,189833,688235,560780,,,"(106,'Florida 19th','FL-19','Republican','Francis','Rooney',2016,1953,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',37.5,59.6,38.7,60.5,42.3,56.8,34.1,65.9,64,36,69,31,32.7,64.6,36.6,63.4,81.6,5.7,10.7,1.2,0.2,0.7,32.3,166,37.1,170,54812,233,51.3,381158,143001,227097,100,38.7,60.5,100,42.3,56.8,363166,123812,239225,129,246861,80824,159354,6683,109746,189833,688235,560780),"
107,Florida 20th,FL-20,Democratic,Alcee,Hastings,1992,1936,Man,Black - African-American,Christian - African Methodist Episcopal,No,80.2,18.1,82.5,17.1,80.9,18.6,80.3,19.7,43,57,42,58,,,,,25.6,51.2,19.4,2.5,0.1,1.3,19.7,391,27.2,311,43677,387,18.5,288811,231596,52251,100,82.5,17.1,100,80.9,18.6,277560,222914,54646,0,,,,,,,631450,459945,,,"(107,'Florida 20th','FL-20','Democratic','Alcee','Hastings',1992,1936,'Man','Black - African-American','Christian - African Methodist Episcopal','No',80.2,18.1,82.5,17.1,80.9,18.6,80.3,19.7,43,57,42,58,,,,,25.6,51.2,19.4,2.5,0.1,1.3,19.7,391,27.2,311,43677,387,18.5,288811,231596,52251,100,82.5,17.1,100,80.9,18.6,277560,222914,54646,0,,,,,,,631450,459945),"
108,Florida 21st,FL-21,Democratic,Lois,Frankel,2012,1948,Woman,White - Non-Hispanic,Jewish,No,58.6,39.1,60.4,38.9,63.4,35.9,62.7,35.1,52,48,52,48,,,,,70.5,11.6,14.7,2.1,0.1,0.9,34.3,135,40.5,132,55864,219,41.8,351661,206239,137490,100,60.4,38.9,100,63.4,35.9,335861,210606,118038,7217,,,,,,,645385,512725,,,"(108,'Florida 21st','FL-21','Democratic','Lois','Frankel',2012,1948,'Woman','White - Non-Hispanic','Jewish','No',58.6,39.1,60.4,38.9,63.4,35.9,62.7,35.1,52,48,52,48,,,,,70.5,11.6,14.7,2.1,0.1,0.9,34.3,135,40.5,132,55864,219,41.8,351661,206239,137490,100,60.4,38.9,100,63.4,35.9,335861,210606,118038,7217,,,,,,,645385,512725),"
109,Florida 22nd,FL-22,Democratic,Ted,Deutch,2010,1966,Man,White - Non-Hispanic,Jewish,No,56.8,41,56.3,43,58.3,41,58.9,41.1,76,24,80,20,,,,,68.7,11.6,15.8,2.5,0.2,1.2,37.9,94,43.2,107,60159,183,38.9,356482,202355,146228,100,56.3,43,100,58.3,41,337850,199113,138737,0,,,,,,,645025,512670,,,"(109,'Florida 22nd','FL-22','Democratic','Ted','Deutch',2010,1966,'Man','White - Non-Hispanic','Jewish','No',56.8,41,56.3,43,58.3,41,58.9,41.1,76,24,80,20,,,,,68.7,11.6,15.8,2.5,0.2,1.2,37.9,94,43.2,107,60159,183,38.9,356482,202355,146228,100,56.3,43,100,58.3,41,337850,199113,138737,0,,,,,,,645025,512670),"
110,Florida 23rd,FL-23,Democratic,Debbie,Wasserman Schultz,2004,1966,Woman,White - Non-Hispanic,Jewish,No,61.9,35.8,61.4,38,62,37.3,56.7,40.5,45,55,47,53,,,,,51.8,12.5,30.8,3.4,0.3,1.1,38.6,91,39.7,143,61513,162,31.1,337782,209079,120967,100,61.4,38,100,62,37.3,323120,183225,130818,9077,,,,,,,639660,494965,,,"(110,'Florida 23rd','FL-23','Democratic','Debbie','Wasserman Schultz',2004,1966,'Woman','White - Non-Hispanic','Jewish','No',61.9,35.8,61.4,38,62,37.3,56.7,40.5,45,55,47,53,,,,,51.8,12.5,30.8,3.4,0.3,1.1,38.6,91,39.7,143,61513,162,31.1,337782,209079,120967,100,61.4,38,100,62,37.3,323120,183225,130818,9077,,,,,,,639660,494965),"
111,Florida 24th,FL-24,Democratic,Frederica,Wilson,2010,1942,Woman,Black - African-American,Christian - Episcopalian,No,82.9,15.4,85.7,13.9,84,15.6,100,0,44,56,45,55,,,,,15.7,50.5,31.6,1.4,0.1,0.7,19.4,393,35.9,184,38441,422,9.9,265174,219783,40817,100,85.7,13.9,100,84,15.6,0,0,0,0,,,,,,,594600,443490,,,"(111,'Florida 24th','FL-24','Democratic','Frederica','Wilson',2010,1942,'Woman','Black - African-American','Christian - Episcopalian','No',82.9,15.4,85.7,13.9,84,15.6,100,0,44,56,45,55,,,,,15.7,50.5,31.6,1.4,0.1,0.7,19.4,393,35.9,184,38441,422,9.9,265174,219783,40817,100,85.7,13.9,100,84,15.6,0,0,0,0,,,,,,,594600,443490),"
112,Florida 25th,FL-25,Republican,Mario,Diaz-Balart,2002,1961,Man,Hispanic - Cuban,Christian - Roman Catholic,No,47.9,49.7,44.9,54.5,40.6,58.8,37.6,62.4,34,66,38,62,,,,,26.5,3.9,68,1,0.2,0.3,22.7,338,33.9,206,46247,359,17.5,264353,126668,131319,100,44.9,54.5,100,40.6,58.8,253240,95319,157921,0,,,,,,,546765,414085,,,"(112,'Florida 25th','FL-25','Republican','Mario','Diaz-Balart',2002,1961,'Man','Hispanic - Cuban','Christian - Roman Catholic','No',47.9,49.7,44.9,54.5,40.6,58.8,37.6,62.4,34,66,38,62,,,,,26.5,3.9,68,1,0.2,0.3,22.7,338,33.9,206,46247,359,17.5,264353,126668,131319,100,44.9,54.5,100,40.6,58.8,253240,95319,157921,0,,,,,,,546765,414085),"
113,Florida 26th,FL-26,Republican,Carlos,Curbelo,2014,1980,Man,Hispanic - Cuban,Christian - Roman Catholic,No,56.8,40.5,55.4,43.9,51.5,47.9,41.2,53,50,50,52,48,,,,,22.4,11.7,63.5,1.6,0.1,0.6,27.2,251,32.8,227,54453,238,15,289225,164252,117205,100,55.4,43.9,100,51.5,47.9,280542,115493,148547,16502,,,,,,,613525,457955,,,"(113,'Florida 26th','FL-26','Republican','Carlos','Curbelo',2014,1980,'Man','Hispanic - Cuban','Christian - Roman Catholic','No',56.8,40.5,55.4,43.9,51.5,47.9,41.2,53,50,50,52,48,,,,,22.4,11.7,63.5,1.6,0.1,0.6,27.2,251,32.8,227,54453,238,15,289225,164252,117205,100,55.4,43.9,100,51.5,47.9,280542,115493,148547,16502,,,,,,,613525,457955),"
114,Florida 27th,FL-27,Republican,Ileana,Ros-Lehtinen,1988,1952,Woman,Hispanic - Cuban,Christian - Episcopalian,No,58.5,38.9,53,46.3,50.1,49.3,45.1,54.9,29,70,33,67,0,100,,,27.8,5,64.6,1.9,0.1,0.6,37.5,98,63.8,18,51958,267,9.9,297564,174132,115814,100,53,46.3,100,50.1,49.3,287677,129760,157917,0,,,,,,,556235,438255,,,"(114,'Florida 27th','FL-27','Republican','Ileana','Ros-Lehtinen',1988,1952,'Woman','Hispanic - Cuban','Christian - Episcopalian','No',58.5,38.9,53,46.3,50.1,49.3,45.1,54.9,29,70,33,67,0,100,,,27.8,5,64.6,1.9,0.1,0.6,37.5,98,63.8,18,51958,267,9.9,297564,174132,115814,100,53,46.3,100,50.1,49.3,287677,129760,157917,0,,,,,,,556235,438255),"
115,Georgia 1st,GA-01,Republican,Buddy,Carter,2014,1957,Man,White - Non-Hispanic,Christian - Methodist,No,40.9,56.4,43,55.9,44.4,55,0,100,71,28,70,30,39.1,60.9,37,63,64,29.1,3.8,1.4,0.3,1.3,25,294,28.2,301,50931,290,45.9,269568,110190,151996,260148,111949,145460,261140,116029,143603,210243,0,210243,0,156512,61175,95337,0,92399,157181,701405,527655,,,"(115,'Georgia 1st','GA-01','Republican','Buddy','Carter',2014,1957,'Man','White - Non-Hispanic','Christian - Methodist','No',40.9,56.4,43,55.9,44.4,55,0,100,71,28,70,30,39.1,60.9,37,63,64,29.1,3.8,1.4,0.3,1.3,25,294,28.2,301,50931,290,45.9,269568,110190,151996,260148,111949,145460,261140,116029,143603,210243,0,210243,0,156512,61175,95337,0,92399,157181,701405,527655),"
116,Georgia 2nd,GA-02,Democratic,Sanford,Bishop,1992,1947,Man,Black - African-American,Christian - Baptist,No,55,43.3,58.6,40.8,57.9,41.6,61.2,38.8,74,26,73,27,59.2,40.8,63.8,36.2,44.6,50.7,2.6,0.9,0.2,1.1,17.6,409,22.1,399,35617,429,34.7,248103,136455,107361,262837,153998,107242,269039,155809,112005,242599,148543,94056,0,162900,96363,66537,0,162751,92410,670425,504255,,,"(116,'Georgia 2nd','GA-02','Democratic','Sanford','Bishop',1992,1947,'Man','Black - African-American','Christian - Baptist','No',55,43.3,58.6,40.8,57.9,41.6,61.2,38.8,74,26,73,27,59.2,40.8,63.8,36.2,44.6,50.7,2.6,0.9,0.2,1.1,17.6,409,22.1,399,35617,429,34.7,248103,136455,107361,262837,153998,107242,269039,155809,112005,242599,148543,94056,0,162900,96363,66537,0,162751,92410,670425,504255),"
117,Georgia 3rd,GA-03,Republican,Drew,Ferguson,2016,1966,Man,White - Non-Hispanic,Christian - Nondenominational,No,32.8,64.3,33,65.9,34,65.3,31.7,68.3,29,70,32,68,0,100,0,100,70.8,23.3,3.3,1.2,0.2,1.2,26.5,264,28.3,297,56240,217,50.7,311865,102155,200624,296218,97746,195071,296017,100498,193264,303187,95969,207218,0,156277,0,156277,0,0,232380,694610,518970,,,"(117,'Georgia 3rd','GA-03','Republican','Drew','Ferguson',2016,1966,'Man','White - Non-Hispanic','Christian - Nondenominational','No',32.8,64.3,33,65.9,34,65.3,31.7,68.3,29,70,32,68,0,100,0,100,70.8,23.3,3.3,1.2,0.2,1.2,26.5,264,28.3,297,56240,217,50.7,311865,102155,200624,296218,97746,195071,296017,100498,193264,303187,95969,207218,0,156277,0,156277,0,0,232380,694610,518970),"
118,Georgia 4th,GA-04,Democratic,Hank,Johnson,2006,1954,Man,Black - African-American,Buddhist - Soka Gakkai,No,75.3,22.2,73.6,25.6,73.2,26.3,75.7,24.3,30,70,31,69,100,0,73.6,26.4,30.9,60.7,3.8,3.2,0.1,1.3,29.8,206,38.1,158,51686,275,19,298663,224907,66433,296933,218499,75951,308702,225977,81136,290739,220146,70593,0,161211,161211,0,0,208861,75041,667990,485240,,,"(118,'Georgia 4th','GA-04','Democratic','Hank','Johnson',2006,1954,'Man','Black - African-American','Buddhist - Soka Gakkai','No',75.3,22.2,73.6,25.6,73.2,26.3,75.7,24.3,30,70,31,69,100,0,73.6,26.4,30.9,60.7,3.8,3.2,0.1,1.3,29.8,206,38.1,158,51686,275,19,298663,224907,66433,296933,218499,75951,308702,225977,81136,290739,220146,70593,0,161211,161211,0,0,208861,75041,667990,485240),"
119,Georgia 5th,GA-05,Democratic,John,Lewis,1986,1940,Man,Black - African-American,Christian - Baptist,No,85,11.9,83.1,15.8,84.4,15,84.4,15.6,39,61,42,58,100,0,84.4,15.6,32.8,59.2,3.3,2.9,0.3,1.5,42,64,70.5,8,48269,337,9.7,305754,259805,36385,290359,241217,45887,311008,262388,46724,300549,253781,46768,0,170326,170326,0,0,234330,43335,693925,543810,,,"(119,'Georgia 5th','GA-05','Democratic','John','Lewis',1986,1940,'Man','Black - African-American','Christian - Baptist','No',85,11.9,83.1,15.8,84.4,15,84.4,15.6,39,61,42,58,100,0,84.4,15.6,32.8,59.2,3.3,2.9,0.3,1.5,42,64,70.5,8,48269,337,9.7,305754,259805,36385,290359,241217,45887,311008,262388,46724,300549,253781,46768,0,170326,170326,0,0,234330,43335,693925,543810),"
120,Georgia 6th,GA-06,Republican,Karen,Handel,2017,1962,Woman,White - Non-Hispanic,Christian - Presbyterian,No,46.8,48.3,37.5,60.8,40.1,59,38.3,61.7,23,77,29,71,34,66,35.5,64.5,72.4,14.3,4.9,6.8,0.3,1.4,60.6,6,66.7,11,87139,34,24,331246,155077,160022,307096,115017,186807,300950,120560,177477,326005,124917,201088,0,210504,71486,139018,0,104365,189669,641380,469400,,,"(120,'Georgia 6th','GA-06','Republican','Karen','Handel',2017,1962,'Woman','White - Non-Hispanic','Christian - Presbyterian','No',46.8,48.3,37.5,60.8,40.1,59,38.3,61.7,23,77,29,71,34,66,35.5,64.5,72.4,14.3,4.9,6.8,0.3,1.4,60.6,6,66.7,11,87139,34,24,331246,155077,160022,307096,115017,186807,300950,120560,177477,326005,124917,201088,0,210504,71486,139018,0,104365,189669,641380,469400),"
121,Georgia 7th,GA-07,Republican,Rob,Woodall,2010,1970,Man,White - Non-Hispanic,Christian - Methodist,No,44.8,51.1,38.3,60.2,39.1,60.1,39.6,60.4,35,65,37,63,34.6,65.4,37.8,62.2,58.5,20.4,9.1,10.4,0.2,1.4,39.6,83,44.9,92,72481,79,32.1,294972,132012,150845,263742,101065,158854,253576,99165,152310,288301,114220,174081,0,173669,60112,113557,0,95377,156689,657130,452545,,,"(121,'Georgia 7th','GA-07','Republican','Rob','Woodall',2010,1970,'Man','White - Non-Hispanic','Christian - Methodist','No',44.8,51.1,38.3,60.2,39.1,60.1,39.6,60.4,35,65,37,63,34.6,65.4,37.8,62.2,58.5,20.4,9.1,10.4,0.2,1.4,39.6,83,44.9,92,72481,79,32.1,294972,132012,150845,263742,101065,158854,253576,99165,152310,288301,114220,174081,0,173669,60112,113557,0,95377,156689,657130,452545),"
122,Georgia 8th,GA-08,Republican,Austin,Scott,2010,1969,Man,White - Non-Hispanic,Christian - Southern Baptist,No,34.4,63.3,37.5,61.6,37.8,61.6,32.4,67.6,29,71,35,66,0,100,0,100,65,30,2.9,0.9,0.2,1,21.8,354,24.8,355,44360,380,48.7,265514,91360,168193,265963,99677,163908,264482,100004,162850,257208,83225,173983,0,129938,0,129938,0,0,197789,682145,514725,,,"(122,'Georgia 8th','GA-08','Republican','Austin','Scott',2010,1969,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',34.4,63.3,37.5,61.6,37.8,61.6,32.4,67.6,29,71,35,66,0,100,0,100,65,30,2.9,0.9,0.2,1,21.8,354,24.8,355,44360,380,48.7,265514,91360,168193,265963,99677,163908,264482,100004,162850,257208,83225,173983,0,129938,0,129938,0,0,197789,682145,514725),"
123,Georgia 9th,GA-09,Republican,Doug,Collins,2012,1966,Man,White - Non-Hispanic,Christian - Southern Baptist,No,19.3,77.8,20.5,78.1,24.3,74.7,0,100,49,50,52,48,19.3,80.7,23.8,76.2,86.8,7,4.2,1,0.2,0.8,21.6,358,24,373,50154,306,65.9,297215,57468,231194,265551,54388,207498,265060,64381,198004,256535,0,256535,0,181047,34988,146059,0,60052,192101,675575,510760,,,"(123,'Georgia 9th','GA-09','Republican','Doug','Collins',2012,1966,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',19.3,77.8,20.5,78.1,24.3,74.7,0,100,49,50,52,48,19.3,80.7,23.8,76.2,86.8,7,4.2,1,0.2,0.8,21.6,358,24,373,50154,306,65.9,297215,57468,231194,265551,54388,207498,265060,64381,198004,256535,0,256535,0,181047,34988,146059,0,60052,192101,675575,510760),"
124,Georgia 10th,GA-10,Republican,Jody,Hice,2014,1960,Man,White - Non-Hispanic,Christian - Southern Baptist,No,35.8,61.3,36.3,62.5,38.8,60.4,0,100,60,40,57,43,33.5,66.5,0,100,69.8,24.7,2.9,1.5,0.1,1,26.7,260,30.4,265,51532,278,48.5,315073,112691,193030,294851,107039,184160,292252,113346,176532,243725,0,243725,0,196480,65777,130703,0,0,211065,698745,529455,,,"(124,'Georgia 10th','GA-10','Republican','Jody','Hice',2014,1960,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',35.8,61.3,36.3,62.5,38.8,60.4,0,100,60,40,57,43,33.5,66.5,0,100,69.8,24.7,2.9,1.5,0.1,1,26.7,260,30.4,265,51532,278,48.5,315073,112691,193030,294851,107039,184160,292252,113346,176532,243725,0,243725,0,196480,65777,130703,0,0,211065,698745,529455),"
125,Georgia 11th,GA-11,Republican,Barry,Loudermilk,2014,1963,Man,White - Non-Hispanic,Christian - Baptist,No,35.3,60.3,31.5,66.9,34.7,64.3,32.6,67.4,53,47,55,39,0,100,31.4,68.6,75.3,16,5,2.3,0.2,1.2,41,72,44.1,98,69610,96,42,329615,116457,198813,300276,94447,201014,296160,102718,190544,323318,105383,217935,0,161532,0,161532,0,90353,196968,680000,504200,,,"(125,'Georgia 11th','GA-11','Republican','Barry','Loudermilk',2014,1963,'Man','White - Non-Hispanic','Christian - Baptist','No',35.3,60.3,31.5,66.9,34.7,64.3,32.6,67.4,53,47,55,39,0,100,31.4,68.6,75.3,16,5,2.3,0.2,1.2,41,72,44.1,98,69610,96,42,329615,116457,198813,300276,94447,201014,296160,102718,190544,323318,105383,217935,0,161532,0,161532,0,90353,196968,680000,504200),"
126,Georgia 12th,GA-12,Republican,Rick,Allen,2014,1951,Man,White - Non-Hispanic,Christian - Methodist,No,40.7,56.9,43.6,55.4,43.9,55.6,38.4,61.6,56,44,56,36,45.2,54.8,53.7,46.3,59.8,34.3,3.3,1.2,0.2,1,20.9,369,23.6,381,43933,385,45.7,267674,108937,152204,268283,117085,148688,265819,116658,147742,258912,99420,159492,0,166814,75478,91336,0,139148,119973,692875,522900,,,"(126,'Georgia 12th','GA-12','Republican','Rick','Allen',2014,1951,'Man','White - Non-Hispanic','Christian - Methodist','No',40.7,56.9,43.6,55.4,43.9,55.6,38.4,61.6,56,44,56,36,45.2,54.8,53.7,46.3,59.8,34.3,3.3,1.2,0.2,1,20.9,369,23.6,381,43933,385,45.7,267674,108937,152204,268283,117085,148688,265819,116658,147742,258912,99420,159492,0,166814,75478,91336,0,139148,119973,692875,522900),"
127,Georgia 13th,GA-13,Democratic,David,Scott,2002,1946,Man,Black - African-American,Christian - Baptist,No,71,26.6,69.2,30,67.1,32.3,100,0,53,46,52,45,100,0,71.7,28.3,33.4,58.1,4.8,2.2,0.1,1.4,29.6,209,26,334,57342,202,24.7,301238,213936,80157,292880,202794,87785,297602,199839,96244,252833,252833,0,0,159445,159445,0,0,201988,79550,684200,487680,,,"(127,'Georgia 13th','GA-13','Democratic','David','Scott',2002,1946,'Man','Black - African-American','Christian - Baptist','No',71,26.6,69.2,30,67.1,32.3,100,0,53,46,52,45,100,0,71.7,28.3,33.4,58.1,4.8,2.2,0.1,1.4,29.6,209,26,334,57342,202,24.7,301238,213936,80157,292880,202794,87785,297602,199839,96244,252833,252833,0,0,159445,159445,0,0,201988,79550,684200,487680),"
128,Georgia 14th,GA-14,Republican,Tom,Graves,2010,1970,Man,White - Non-Hispanic,Christian - Southern Baptist,No,22.1,75,25.3,73.2,27.8,71,0,100,55,44,53,43,0,100,27,73,85.1,8.7,4.4,0.7,0.2,0.9,18.1,406,18.5,423,48691,330,69.3,255872,56513,191849,232702,58906,170364,239806,66752,170324,216743,0,216743,0,118782,0,118782,0,59245,159947,667195,492210,,,"(128,'Georgia 14th','GA-14','Republican','Tom','Graves',2010,1970,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',22.1,75,25.3,73.2,27.8,71,0,100,55,44,53,43,0,100,27,73,85.1,8.7,4.4,0.7,0.2,0.9,18.1,406,18.5,423,48691,330,69.3,255872,56513,191849,232702,58906,170364,239806,66752,170324,216743,0,216743,0,118782,0,118782,0,59245,159947,667195,492210),"
129,Hawaii 1st,HI-01,Democratic,Colleen,Hanabusa,2016,1951,Woman,Asian - Japanese,Buddhist - Jodo Shinshu,No,63.1,30.5,69.7,29,70.3,28.3,71.9,22.7,50,50,49,48,51.9,48.1,54.6,45.4,19.1,2.2,7.2,56.2,0.1,15.1,36,119,48.9,69,78180,58,9.8,209300,132009,63916,216671,151023,62875,222577,156408,63007,202357,145417,45958,10982,179844,93390,86454,0,116505,96824,639210,501890,,,"(129,'Hawaii 1st','HI-01','Democratic','Colleen','Hanabusa',2016,1951,'Woman','Asian - Japanese','Buddhist - Jodo Shinshu','No',63.1,30.5,69.7,29,70.3,28.3,71.9,22.7,50,50,49,48,51.9,48.1,54.6,45.4,19.1,2.2,7.2,56.2,0.1,15.1,36,119,48.9,69,78180,58,9.8,209300,132009,63916,216671,151023,62875,222577,156408,63007,202357,145417,45958,10982,179844,93390,86454,0,116505,96824,639210,501890),"
130,Hawaii 2nd,HI-02,Democratic,Tulsi,Gabbard,2012,1981,Woman,Pacific Islander - Samoan,Hindu,No,61.4,29.6,71.4,26.7,73.4,24.9,81.2,18.8,48,51,48,49,78.7,18.6,80.5,19.5,33.7,1.6,9.2,35.9,0.2,19.5,27.8,242,42.6,118,70867,89,19.3,219637,134882,64931,218026,155635,58140,230991,169463,57559,210516,170848,39668,0,180333,142010,33630,4693,168503,40707,664745,504835,,,"(130,'Hawaii 2nd','HI-02','Democratic','Tulsi','Gabbard',2012,1981,'Woman','Pacific Islander - Samoan','Hindu','No',61.4,29.6,71.4,26.7,73.4,24.9,81.2,18.8,48,51,48,49,78.7,18.6,80.5,19.5,33.7,1.6,9.2,35.9,0.2,19.5,27.8,242,42.6,118,70867,89,19.3,219637,134882,64931,218026,155635,58140,230991,169463,57559,210516,170848,39668,0,180333,142010,33630,4693,168503,40707,664745,504835),"
131,Idaho 1st,ID-01,Republican,Raúl,Labrador,2010,1967,Man,Hispanic - Puerto Rican,Christian - Mormon,No,25.4,63.7,32.2,64.9,35.1,62.5,31.8,68.2,84,16,83,17,35,65,32.8,67.2,89.6,0.3,6.5,0.9,1.2,1.5,25.4,285,26.8,316,52199,262,65.5,359661,91284,229034,328258,105645,213080,329856,115925,206273,355357,113052,242252,53,220864,77277,143580,7,97450,199402,811550,599525,,,"(131,'Idaho 1st','ID-01','Republican','Raúl','Labrador',2010,1967,'Man','Hispanic - Puerto Rican','Christian - Mormon','No',25.4,63.7,32.2,64.9,35.1,62.5,31.8,68.2,84,16,83,17,35,65,32.8,67.2,89.6,0.3,6.5,0.9,1.2,1.5,25.4,285,26.8,316,52199,262,65.5,359661,91284,229034,328258,105645,213080,329856,115925,206273,355357,113052,242252,53,220864,77277,143580,7,97450,199402,811550,599525),"
